"","Name_of_Organisation","Type","Country","Divestment_Type","More_Info","Policy"
"1"," 'http://thechurchinmalta.org/en/'  Archdiocese of Malta","Faith-based Organization","Malta","Full","'https://docs.google.com/document/d/1Prs2wzSrmffgiW4B0E1cx42bvRJtzxjtJJCbxTAySUA/edit'",1
"2"," 'https://www.caissedesdepots.fr'  Caisse des dépôts et consignations","Pension Fund","France","Coal Only","'https://www.caissedesdepots.fr/sites/default/files/medias/cp_et_dp/cp_engagements_climat_2018.pdf'",1
"3"," 'https://350.org/' 350.org","NGO","USA","Fossil Free","",1
"4"," 'http://350.org.au/' 350.org Australia","NGO","Australia","Fossil Free","",1
"5"," 'https://www.ag2rlamondiale.fr/' AG2R la mondiale","For Profit Corporation","France","Coal Only","'https://www.ag2rlamondiale.fr/files/live/sites/portail/files/pdf/Investisseurs/Investisseur-Politique-charbon.pdf'",1
"6"," 'http://altis.unicatt.it/' ALTIS, Alta Scuola Impresa e Società dell'Università Cattolica del Sacro Cuore","Educational Institution","Italy","Full","'https://catholicclimatemovement.global/divest-and-reinvest/'",1
"7"," 'https://amecea.org/' AMECEA - Association of Member Episcopal Conferences in Eastern Africa","Faith-based Organization","Kenya","Full","'https://www.ncronline.org/news/environment/faith-pledges-push-global-fossil-fuel-divestments-over-11-trillion'",1
"8"," 'https://www.ampcapital.com/' AMP Capital Responsible Investment","For Profit Corporation","Australia","Coal and Tar Sands Only","'https://www.ampcapital.com/content/dam/capital/03-funds-files-only/aus-funds/responsible-investment-leaders/Responsible%20Investment%20Leaders%20-%20Platform%20(Class%20A)%20PDS_20171127.pdf'",1
"9"," 'https://www.ap1.se/en/' AP1","Pension Fund","Sweden","Coal and Tar Sands Only","'https://www.ipe.com/countries/sweden/ap1-divests-from-nuclear-weapons-tobacco-and-fossil-fuels/10029064.article'",1
"10"," 'http://www.ap2.se/en/about-ap2/' AP2","Pension Fund","Sweden","Partial","'http://www.ap2.se/en/news-reports/news/2016/andra-ap-fonden-avvecklar-agandet-i-ytterligare-19-fossilbolag/'",1
"11"," 'http://www.ap4.se/en/about-ap4/' AP4","Pension Fund","Sweden","Coal and Tar Sands Only","'https://www.ipe.com/countries/sweden/ap4-adds-nuclear-weapons-oil-sands-to-investment-blacklist/10029030.article'",1
"12"," 'http://apraamcos.com.au/' APRA/AMCOS","For Profit Corporation","Australia","Full","'http://themusic.com.au/news/all/2015/11/19/apra-amcos-joins-aussie-musos-in-backing-fossil-fuel-divestment/'",1
"13"," 'https://www.asrnl.com/' ASR Netherlands NV","For Profit Corporation","Netherlands","Coal and Tar Sands Only","'https://www.bloomberg.com/news/articles/2019-06-24/insurer-looks-at-ending-cover-for-gambling-arms-nuclear-power'",1
"14"," 'https://www.atp.dk/en' ATP","Pension Fund","Denmark","Partial","'https://uk.reuters.com/article/us-climate-change-atp-pensions/danish-pension-provider-atp-to-halt-fossil-fuel-investments-via-external-funds-idUKKBN1ZY2ND'",1
"15"," 'https://www.axa-im.com/en/' AXA I.M.","For Profit Corporation","France","Coal and Tar Sands Only","'https://www.axa-im.com/en/media-centre/-/news/axa-investment-managers-divests-from-companies-most-exposed-to-coal/maximized/R9Y2LxVHwWFf'",1
"16"," 'http://www.abdijnazareth.be/' Abdij OLV van Nazareth","Faith-based Organization","Belgium","Full","'https://www.theguardian.com/environment/2017/oct/03/catholic-church-to-make-record-divestment-from-fossil-fuels'",1
"17"," 'https://www.facebook.com/AbleFarms/' Able Farms","For Profit Corporation","USA","Full","",1
"18","Abracadabra Retirement Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"19","Abramowitz-Silverman Fund","Philanthropic Foundation","USA","Full","'http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust'",1
"20","Acacia Inversion","Philanthropic Foundation","Tanzania","Coal Only","",1
"21"," 'http://www.accessstrategies.org/' Access Strategies Fund","Philanthropic Foundation","USA","Full","",1
"22"," 'http://www.aegon.com/' Aegon N.V.","For Profit Corporation","Netherlands","Coal Only","'http://www.aegon.com/en/Home/Investors/News-releases/2016/Aegon-strikes-coal-mining-off-its-investment-list-/'",1
"23"," 'http://www.aestus-inc.com/' Aestus Inc","For Profit Corporation","USA","Full","'From Divest Invest '",1
"24"," 'http://www.aefjn.org/' Africa Europe Faith and Justice Network","Faith-based Organization","Belgium","Full","'https://docs.google.com/spreadsheets/d/1ftIRg5MMZGCXJyOQd9pYJXJw80IZkutjDFCwaIXP_lo/edit#gid=0'",1
"25"," 'https://www.afrikindfoundation.org/' Afrikind International Foundation Inc","Philanthropic Foundation","USA","Full","",1
"26"," 'alingsas.se' Alingsås Government","Government","Sweden","Full","'https://www.alingsas.se/kommun-politik/alingsas-kommun-divesterar-ur-fossila-branslen'",1
"27"," 'https://allhallowsleeds.org' All Hallows Church, Leeds (Church of England)","Faith-based Organization","UK","Full","'https://allhallowsleeds.org/2019/04/23/all-hallows-divests/'",1
"28"," 'http://www.uugreenfield.org/' All Souls Unitarian Universalist Church","Faith-based Organization","USA","Full","'http://greeninggreenfield.org/green-heroes/534-nov-2014-hero'",1
"29","Alleycat Super Fund","Pension Fund","Australia","Full","'http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987'",1
"30"," 'https://www.allianz.com/' Allianz Group","For Profit Corporation","Germany","Partial","'http://af.reuters.com/article/energyOilNews/idAFL8N13I4MJ20151123'",1
