"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"1","Divestment","Fossil Free","350.org","NGO","USA","Brooklyn","--"
"2","Divestment","Fossil Free","350.org Australia","NGO","Australia","Sydney","--"
"3","Divestment","Full","Abracadabra Retirement Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"4","Divestment","Full","Abramowitz-Silverman Fund","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"5","Divestment","Full","Access Strategies Fund","Philanthropic Foundation","USA","Cambridge","--"
"6","Divestment","Full","Bendigo and Adelaide Bank Limited","For Profit Corporation","Australia","Bendigo","http://www.bendigoadvertiser.com.au/story/2336225/bendigo-and-adelaide-bank-joins-super-funds-in-fossil-fuel-rethink/"
"7","Divestment","Coal Only","Aegon N.V.","For Profit Corporation","Netherlands","The Hague","http://www.aegon.com/en/Home/Investors/News-releases/2016/Aegon-strikes-coal-mining-off-its-investment-list-/"
"8","Divestment","Full","All Souls Unitarian Universalist Church","Faith-based Organization","USA","Greenfield","http://greeninggreenfield.org/green-heroes/534-nov-2014-hero"
"9","Divestment","Full","Alleycat Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"10","Divestment","Partial","Allianz Group","For Profit Corporation","Germany","München","http://af.reuters.com/article/energyOilNews/idAFL8N13I4MJ20151123"
"11","Divestment","Full","American Ethical Union","Faith-based Organization","USA","New York","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"12","Divestment","Full","Anderson Peters Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"13","Divestment","Full","Anglican Church of Aotearoa","Faith-based Organization","New Zealand","Auckland","--"
"14","Divestment","Full","Anglican Diocese of Ottawa","Faith-based Organization","Canada","Ottawa","http://ottawacitizen.com/news/local-news/ottawa-area-anglicans-overwhelmingly-vote-to-sell-1m-in-oil-gas-stocks"
"15","Divestment","Full","Anglican Diocese of Auckland","Faith-based Organization","New Zealand","Auckland","--"
"16","Divestment","Full","Anglican Diocese of Canberra and Goulburn","Faith-based Organization","Australia","Canberra","http://350.org.au/blog/canberra-diocese-joins-perth-anglicans-in-divesting-from-fossil-fuels/"
"17","Divestment","Full","Anglican Diocese of Dunedin","Faith-based Organization","New Zealand","Dunedin","http://350.org.nz/files/2013/07/Five-Anglican-Church-Dioceses-lead-the-way-in-fossil-fuel-divestment.pdf"
"18","Divestment","Full","Anglican Diocese of Melbourne","Faith-based Organization","Australia","Melbourne","http://350.org.au/blog/melbourne-anglicans-to-divest-from-fossil-fuels/"
"19","Divestment","Full","Anglican Diocese of Montreal","Faith-based Organization","Canada","Montreal","http://350ottawa.org/anglican-diocese-of-montreal-passes-motion-to-divest/"
"20","Divestment","Full","Anglican Diocese of Perth","Faith-based Organization","Australia","Perth","http://350.org.au/blog/perth-anglicans-to-divest-from-fossil-fuels/"
"21","Divestment","Fossil Free","Anglican Diocese of Quebec","Faith-based Organization","Canada","Québec","http://www.anglicanjournal.com/articles/diocese-of-quebec-divests-from-fossil-fuels-mining"
"22","Divestment","Full","Anglican Diocese of Waiapu","Faith-based Organization","New Zealand","Napier","--"
"23","Divestment","Full","Anglican Diocese of Waikato and Taranaki","Faith-based Organization","New Zealand","Hamilton","--"
"24","Divestment","Full","Anglican Diocese of Wellington","Faith-based Organization","New Zealand","Thorndon","--"
"25","Divestment","Partial","Anglican National Super","Pension Fund","Australia","Parramatta","http://350.org.au/blog/anglican-national-super-divests-from-fossil-fuels/"
"26","Divestment","Partial","Second Swedish National Pension Fund (AP2)","Pension Fund","Sweden","Göteborg","http://www.bloomberg.com/news/articles/2015-05-05/nordic-funds-cut-u-s-oil-coal-investments-on-climate-concern"
"27","Divestment","Full","APRA/AMCOS","For Profit Corporation","Australia","Ultimo","http://themusic.com.au/news/all/2015/11/19/apra-amcos-joins-aussie-musos-in-backing-fossil-fuel-divestment/"
"28","Divestment","Full","Aria Foundation","Philanthropic Foundation","USA","Los Angeles","--"
"29","Divestment","Full","The Arkay Foundation","Philanthropic Foundation","USA","Berkeley","--"
"30","Divestment","Full","Australian Academy of Science","Cultural Institution","Australia","Acton","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"31","Divestment","Full","Australian Capital Territory","Government","Australia","Canberra","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"32","Divestment","Full","Australian Ethical","For Profit Corporation","Australia","Sydney","http://www.smh.com.au/business/australian-ethical-and-hunter-hall-pledge-to-divest-fossil-fuels-20160410-go34wb.html"
"33","Divestment","Full","Australian Guild of Screen Composers","NGO","Australia","Potts Point","--"
"34","Divestment","Partial","Australian National University","Educational Institution","Australia","Acton","https://cecs.anu.edu.au/news/update-anu-socially-responsible-investment-policy"
"35","Divestment","Full","Australian Religious Response to Climate Change (ARRCC)","Faith-based Organization","Australia","Sydney","--"
"36","Divestment","Partial","AustralianSuper","Pension Fund","Australia","Melbourne","--"
"37","Divestment","Full","Ballina Shire Council","Government","Australia","Ballina","http://350.org.au/news/ballina-shire-council-divests-from-fossil-fuels/"
"38","Divestment","Full","Banyule City Council","Government","Australia","Ivanhoe","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"39","Divestment","Full","Barnegat Monthly Meeting","Faith-based Organization","USA","Barnegat","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"40","Divestment","Full","Barnett Super Wealthy Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"41","Divestment","Full","Barry Family Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"42","Divestment","Full","Bass Coast Shire","Government","Australia","Wonthaggi","https://350.org.au/news/bass-coast-shire-to-shift-17m-from-coal-oil-and-gas/; http://www.basscoast.vic.gov.au/Council/NewsAndPublications/Annual_Reports"
"43","Divestment","Full","Bathurst Street United Church","Faith-based Organization","Canada","Toronto","http://www.trinitystpauls.ca/the-united-church-votes-to-divest-from-fossil-fuels/"
"44","Divestment","Full","Ben & Jerry's Foundation","Philanthropic Foundation","USA","South Burlington","http://divestinvest.org/philanthropy/#/signatories/ben-jerrys-foundation-inc"
"45","Divestment","Full","Betsy and Jesse Fink Foundation","Philanthropic Foundation","USA","--","--"
"46","Divestment","Full","Bewegungsstiftung","Philanthropic Foundation","Germany","Verden","https://www.bewegungsstiftung.de/diestiftung_2016.html"
"47","Divestment","Full","Bioregional","Philanthropic Foundation","UK","London","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"48","Divestment","Coal and Tar Sands Only","Birmingham City University","Educational Institution","UK","Birmingham","http://blog.peopleandplanet.org/blog/2015/11/10/university-fossil-fuel-divestment-doubles-ahead-of-paris-climate-talks-press-release/"
